algorithm,lat,lon
BFS,29.6486,-82.346
BFS,29.6498,-82.3447
BFS,29.6498,-82.3435
BFS,29.6499,-82.3402
BFS,29.6501,-82.3401
BFS,29.6502,-82.34
BFS,29.6502,-82.3393
BFS,29.6493,-82.3393
BFS,29.6493,-82.3371
BFS,29.6493,-82.3351
BFS,29.6493,-82.3338
BFS,29.6493,-82.3323
BFS,29.649,-82.3323
BFS,29.649,-82.3309
BFS,29.649,-82.3295
BFS,29.649,-82.328
BFS,29.649,-82.3273
BFS,29.649,-82.3266
BFS,29.649,-82.3258
BFS,29.649,-82.325
BFS,29.6497,-82.325
BFS,29.6497,-82.3239
Dijkstra,29.6486,-82.346
Dijkstra,29.6498,-82.3447
Dijkstra,29.6498,-82.3435
Dijkstra,29.6499,-82.3402
Dijkstra,29.6501,-82.3401
Dijkstra,29.6502,-82.34
Dijkstra,29.6502,-82.3393
Dijkstra,29.6502,-82.3372
Dijkstra,29.6502,-82.3372
Dijkstra,29.6502,-82.3371
Dijkstra,29.6502,-82.3352
Dijkstra,29.6502,-82.3351
Dijkstra,29.6501,-82.335
Dijkstra,29.6502,-82.335
Dijkstra,29.6502,-82.3338
Dijkstra,29.6502,-82.333
Dijkstra,29.6502,-82.3323
Dijkstra,29.6502,-82.3316
Dijkstra,29.6502,-82.3309
Dijkstra,29.6502,-82.3309
Dijkstra,29.6502,-82.3308
Dijkstra,29.6502,-82.3307
Dijkstra,29.6502,-82.3304
Dijkstra,29.6502,-82.3295
Dijkstra,29.6502,-82.3288
Dijkstra,29.6502,-82.328
Dijkstra,29.6502,-82.3279
Dijkstra,29.6502,-82.3273
Dijkstra,29.6502,-82.3266
Dijkstra,29.6502,-82.325
Dijkstra,29.6502,-82.324
Dijkstra,29.6497,-82.3239
