osm_type,osm_id,lat,lon,housenumber,street,unit,city,state,postcode,country,full_address,nearest_segment_id,nearest_from_node,nearest_to_node,nearest_street_name,distance_to_road_m
way,405031985,29.628797189980475,-82.46015283650975,11108,Southwest 24th Avenue,,Gainesville,FL,,US,"11108 Southwest 24th Avenue, Gainesville FL, US",111025,6060333593,6060333592,Southwest 110th Terrace,1.42
node,8007791767,29.6460704,-82.3243336,619,South Main Street,,Gainesville,FL,32601,,"619 South Main Street, Gainesville FL 32601",108335,2587439062,2587439063,,1.68
way,409184123,29.68299094751906,-82.35703271874758,3730,Northwest 31st Avenue,,Gainesville,FL,,US,"3730 Northwest 31st Avenue, Gainesville FL, US",107594,2163019958,2163019961,Northwest 23rd Terrace,1.92
way,821705462,29.638002387263366,-82.41804457282703,6519,West Newberry Road,,Gainesville,FL,32607,US,"6519 West Newberry Road, Gainesville FL 32607, US",112476,7911470670,7911470678,Southwest 17th Road,2.76
relation,4012073,28.966213696921276,-81.95590277256643,11560,Southeast 176th Place Road,,Summerfield,FL,34491,,"11560 Southeast 176th Place Road, Summerfield FL 34491",31267,2086778384,98796643,Southeast 119th Cricle,4.07
node,9499839178,29.1842866,-82.1351122,112,East Fort King Street,,Ocala,FL,34471,,"112 East Fort King Street, Ocala FL 34471",10259,98824984,98817077,Southeast Osceola Avenue,4.23
node,12757596659,28.9663606,-82.0167354,17550,"SE 81st Parnassus Ct,",,,,,,"17550 SE 81st Parnassus Ct,",31989,2161772979,2161772979,Southeast 81st Parnassus Court,4.4
way,417910689,29.60717118749867,-82.4478766164116,10000,Southwest 52nd Avenue,,Gainesville,FL,,US,"10000 Southwest 52nd Avenue, Gainesville FL, US",79944,84844291,84800584,Southwest 52nd Avenue,5.61
way,866464029,29.639516496492693,-82.36021757161295,1388,Orchard Drive,,Gainesville,FL,32611,,"1388 Orchard Drive, Gainesville FL 32611",108347,2654104462,2654104610,Orchard Drive,5.84
node,13007166897,29.6789858,-82.3316482,669,NW 29th Avenue,,Gainesville,FL,32609,,"669 NW 29th Avenue, Gainesville FL 32609",110295,4293864724,4293864723,Northwest 29th Avenue,5.96
way,1206511794,29.654896731671762,-82.34385274249726,1620,Northwest 3rd Place,,Gainesville,FL,32603,,"1620 Northwest 3rd Place, Gainesville FL 32603",103677,84915929,84930779,Northwest 4th Avenue,7.14
node,4170000116,29.6827521,-82.3575993,3234,Northwest 23rd Road,,Gainesville,FL,,US,"3234 Northwest 23rd Road, Gainesville FL, US",107592,2163019955,2163019954,Northwest 32nd Place,7.59
way,333461345,28.97266165648039,-82.03334121911944,7415,SE 172nd Legacy Ln,,The Villages,FL,32162,,"7415 SE 172nd Legacy Ln, The Villages FL 32162",32431,2161801689,2161801689,Southeast 171st Brookhaven Place,7.77
node,367826245,29.5922222,-82.0869444,6700,SE 221ST ST,,Hawthorne,FL,32640,,"6700 SE 221ST ST, Hawthorne FL 32640",38672,84844855,84886016,Southeast 67th Place,8.26
node,4497579171,29.6071871,-82.4384129,9124,Southwest 51st Road,B-104,Gainesville,FL,32608,,"9124 Southwest 51st Road #B-104, Gainesville FL 32608",81758,84914481,84843232,Southwest 51st Road,8.75
node,12725559736,29.6554032,-82.3274213,224,,,,,,,224,102377,84903175,84896836,Northwest 4th Place,8.92
node,5925143886,29.5301111,-82.5106777,15790,,,,,,,15790,80741,84872215,84888741,SW County Road 346,8.97
node,13436535208,29.651823,-82.325747,19,West University Avenue,,Gainesville,FL,32601,,"19 West University Avenue, Gainesville FL 32601",91361,84834491,84834494,Southwest 1st Street,9.03
node,1595404095,29.6511513,-82.3266928,48,SW 2nd St,,,,32601,,"48 SW 2nd St, 32601",94884,84855614,9242155942,Southwest 2nd Street,9.09
node,11593746669,29.6059463,-82.4392171,5213,Southwest 91st Terrace,,Gainesville,FL,32608,,"5213 Southwest 91st Terrace, Gainesville FL 32608",79839,84843221,84843224,Southwest 91st Terrace,9.11
node,2680895361,29.5850507,-82.2402243,7204,SE Country Road 234,,Gainesville,,32641,,"7204 SE Country Road 234, Gainesville 32641",85478,12610738872,84840037,,9.11
node,5152459430,29.6503877,-82.3236051,214,Southeast 2nd Avenue,,Gainesville,FL,,,"214 Southeast 2nd Avenue, Gainesville FL",89208,84826212,84919360,Southeast 2nd Avenue,9.32
node,4497579135,29.6055025,-82.4394382,5216,Southwest 91st Terrace,,Gainesville,FL,,US,"5216 Southwest 91st Terrace, Gainesville FL, US",79838,84843221,3583692600,Southwest 91st Terrace,9.35
