node_id,lat,lon,incident_streets
91312330,28.9755916,-81.7641939,Southeast County Road 42
91325111,28.9750924,-81.764022,
91326743,28.9756174,-81.7637318,Southeast County Road 42
91705611,28.9755846,-81.7646422,Southeast County Road 42
91781897,29.1684545,-81.6426743,
94609877,28.9889638,-81.7326135,254th Terrace;Southeast County Road 42
94609879,28.9892325,-81.7322085,Southeast 255 Avenue;Southeast County Road 42
94609893,28.9894296,-81.7280028,Fair Lawn Avenue;Southeast County Road 42
94609949,28.9763309,-81.6921115,Southeast County Road 42
98132648,28.9599775,-81.8960111,Southeast 155th Avenue;Southeast 180th Street
98741981,29.073174,-81.89131,Mulberry Lane;Southeast 141st Avenue Road;Southeast 160th Avenue;Southeast 150th Avenue Road
98741982,29.0720019,-81.8919778,Mulberry Lane
98741999,29.0443436,-81.9623351,Southeast 115th Avenue;Southeast 115th Avenue;Southeast 123rd Place;Southeast 123rd Street
98742003,29.0443366,-81.9596778,Southeast 123rd Street
98742071,29.2714165,-81.9110368,Northeast 147th Avenue Road;Salt Springs Highway
98742075,29.2738768,-81.9124758,Northeast 147th Avenue Road;Northeast 83 Place
98742078,29.2745265,-81.9128542,Northeast 147th Avenue Road
98742080,29.2756615,-81.9135154,Northeast 147th Avenue Road;Northeast 147th Court Road;Northeast 85th Place;Northeast 85th Place;Northeast 147th Court Road
98742084,29.276232,-81.9138517,Northeast 147th Avenue Road;Northeast 86th Lane
98742088,29.277692,-81.914246,Northeast 147th Avenue Road
98742155,28.9892162,-82.1199075,South Magnolia Avenue;Southeast County Road 42;Southeast 160th Street;Southeast 160th Street;Southeast 160th Street;Southeast County Road 42;South Magnolia Avenue
98742159,28.9964605,-82.1198933,Southeast 155th Street
98742162,29.0037932,-82.1199035,Southeast 150th Street
98742165,29.0110867,-82.1199233,Southeast 145th Street
98742171,29.0256953,-82.1201094,
98742173,29.0313663,-82.1225116,Southeast 131st Street
98742175,29.0402213,-82.1263096,Southeast 125th Street
98742177,29.0421508,-82.1271514,Southeast 123rd Street Road
98742192,28.9628553,-82.1198934,Southeast 178th Street
98742193,28.96731,-82.119891,Southeast 175th Street
98742197,28.9745806,-82.1198937,Southeast 170th Street
98742202,28.9818982,-82.1198965,Southeast County Road 42
98742206,28.9892125,-81.9309691,Southeast 134 avenue;Southeast Sunset Harbor Road
98742208,28.9924475,-81.9309727,Southeast 134 avenue
98742327,29.1347141,-82.0254175,Fir Trail Terrace;Fir Trail Track
98742333,29.1334684,-82.0250269,Fir Trail Terrace
98742347,29.0065481,-81.7956625,Southeast 148th Place;Southeast 217th Avenue
98742349,29.0066129,-81.7954171,Southeast 218th Court
98742353,29.0070413,-81.7948827,Southeast 218th Terrace;Southeast 149th Place
98742355,29.0072693,-81.7946139,Southeast 147th Place;Southeast 218th Terrace
98742608,29.2609844,-82.1282456,Northeast 71st Lane;Northeast 7th Avenue;Northeast 71st Terrace;Northeast 7th Avenue;Northeast 7th Avenue;Northeast 71st Lane;Northeast 71st Terrace
98742664,29.0400053,-81.9214036,Southeast 124th Street;Southeast 140th Avenue
98742665,29.0394353,-81.9204059,Palmetto Street;Southeast 124th Street;Southeast 141st Avenue Road
98743143,29.2714957,-82.0785527,Northeast 41st Court
98743227,29.112314,-81.8572284,Sellers Road
98743229,29.111485,-81.858299,
98743256,29.1118904,-81.8568286,Sellers Road
98743258,29.110849,-81.85791,
98743280,29.180526,-81.936053,Southeast 125th Terrace Road
98743348,29.0543502,-81.8846225,
98743350,29.0543522,-81.8836977,
98743358,29.0543558,-81.8822304,Fisher Run
98743472,29.0558778,-81.883844,Fisher Run Trace
98743474,29.0551729,-81.8836823,Crs Lane
98743627,29.281568,-82.099232,Northeast 27 Terrace
98743631,29.281653,-82.099635,
98743637,29.2775311,-82.1019052,Northeast 36th Avenue Road;Northeast 36 Avenue;Northeast 86th Lane
98743667,29.2880451,-81.8785971,
98743688,29.288662,-81.867777,
98743711,29.2777079,-81.8696395,Salt Springs Highway
98744040,29.109089,-82.0931113,
98744047,29.108929,-82.094374,
98744203,29.0039026,-81.6918403,
98744269,29.1213124,-81.8910196,South Highway 314A;Southeast 65th Street
98744296,29.1700637,-82.1417183,Southwest 18th Street;Southwest 5th Avenue
98744475,29.1818233,-81.7129692,
98744483,29.1827646,-81.7129102,
98744492,29.18152,-81.7129624,
98744494,29.1782615,-81.7129216,
98744502,29.2008007,-82.1350583,Northeast 14th Street;Northeast Osceola Avenue
98744668,29.1122701,-82.0285016,
98744669,29.1125583,-82.0282673,Pine Place
98744670,29.1128698,-82.0280098,
98744836,29.0502949,-81.9154036,Guava Terrace;Guava Terrace Radial
98744839,29.0524675,-81.9153761,Guava Terrace;Magnolia Drive Terrace
98744844,29.0541583,-81.9146677,Guava Terrace;Guava Terrace Radial
98744999,29.2816714,-81.981756,Northeast 90th Street Road
98745007,29.284737,-81.969896,
98745103,29.2774441,-81.9001656,Northeast 154th Avenue;Northeast 86th Lane
98745124,29.278033,-81.891097,
98745191,29.0436773,-82.0406909,Southeast 122nd Lane
98745290,29.0660189,-82.0410616,Southeast 107th Street;Southeast 67th Avenue;Southeast 70th Avenue;Southeast 107th Street
98745536,29.0716676,-81.9715587,Southeast 109 Court;Southeast Maricamp Road
98745915,29.0599614,-82.0590079,Abshier Boulevard
98745917,29.0603379,-82.0590081,Southeast 111th Street
98745919,29.0614492,-82.0591408,Southeast 110th Place
